s3_key,label,flesch_reading_ease,smog_index,ari,coleman_liau,gunning_fog,dale_chall,lix,rix,n_chars,n_words,n_sents,avg_word_len,avg_sent_len,prop_long_words,prop_stopwords,prop_digits,prop_upper,pos_prop_noun,pos_prop_verb,pos_prop_adj,pos_prop_adv,pos_prop_propn,pos_prop_num,pos_prop_pron,pos_prop_adp,pos_prop_det,pos_prop_cconj,pos_prop_sconj,pos_prop_aux,pos_prop_part,pos_prop_intj,pos_prop_sym,pos_prop_punct,pos_prop_x,sent_len_mean,sent_len_std,sent_len_p90,token_len_mean,token_len_std,token_len_p90,punct_rate_comma,punct_rate_semicolon,punct_rate_colon,punct_rate_dash,punct_rate_parenthesis,punct_rate_quote,punct_rate_slash,punct_rate_percent,ent_count_per,ent_prop_per,ent_count_org,ent_prop_org,ent_count_loc,ent_prop_loc,ent_count_misc,ent_prop_misc,ent_count_date,ent_prop_date,ent_count_time,ent_prop_time,ent_count_cardinal,ent_prop_cardinal,ent_count_quantity,ent_prop_quantity,ent_count_percent,ent_prop_percent,ent_count_money,ent_prop_money,ent_count_ordinal,ent_prop_ordinal,ent_count_gpe,ent_prop_gpe,ent_count_fac,ent_prop_fac,ent_count_event,ent_prop_event,ent_count_work_of_art,ent_prop_work_of_art,ent_count_law,ent_prop_law,ent_count_language,ent_prop_language,ent_count_norp,ent_prop_norp,ent_count_product,ent_prop_product,ent_total,td_error
cleaned/ClinicalTrials.gov/test/pls/NCT00925002.txt_accumulated_section3.txt,PLS,6.31,21.9,28.3,19.242794759825326,23.85,14.72,77.68981217985203,15.0,1400,226,7,6.0265486725663715,32.285714285714285,0.4557522123893805,0.2884012539184953,0.05329153605015674,0.004424778761061947,0.37168141592920356,0.05752212389380531,0.22566371681415928,0.030973451327433628,0.05752212389380531,0.0752212389380531,0.022123893805309734,0.1592920353982301,0.09734513274336283,0.035398230088495575,0.004424778761061947,0.01327433628318584,0.0,0.0,0.008849557522123894,0.252212389380531,0.0,32.285714285714285,33.35400719431426,65.00000000000003,6.0265486725663715,3.2762491422847018,10.0,0.01549053356282272,0.005737234652897304,0.0011474469305794606,0.0017211703958691911,0.005737234652897304,0.0,0.0005737234652897303,0.0,1,0.14285714285714285,2,0.2857142857142857,0,0.0,4,0.5714285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT00925002.txt_accumulated_section5.txt,PLS,5.7,21.6,28.3,18.742145922746783,23.79,14.53,77.60504201680672,15.0,1404,230,7,5.939130434782609,32.857142857142854,0.44782608695652176,0.29721362229102166,0.05263157894736842,0.004347826086956522,0.3695652173913043,0.05217391304347826,0.2217391304347826,0.034782608695652174,0.05217391304347826,0.07391304347826087,0.021739130434782608,0.1565217391304348,0.1,0.034782608695652174,0.004347826086956522,0.021739130434782608,0.0,0.0,0.008695652173913044,0.25217391304347825,0.0,32.857142857142854,34.68811476748843,66.60000000000002,5.939130434782609,3.3160661778725475,10.0,0.015419760137064534,0.0057110222729868645,0.001142204454597373,0.0017133066818960593,0.0057110222729868645,0.0,0.0005711022272986865,0.0,1,0.14285714285714285,2,0.2857142857142857,0,0.0,4,0.5714285714285714,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT00925002.txt_accumulated_section6.txt,PLS,4.48,21.6,27.4,17.354608150470217,23.84,14.34,77.74863912904259,15.11111111111111,1844,311,9,5.717041800643087,34.55555555555556,0.42443729903536975,0.3357142857142857,0.05238095238095238,0.006430868167202572,0.3279742765273312,0.05787781350482315,0.17363344051446947,0.028938906752411574,0.07717041800643087,0.06752411575562701,0.01929260450160772,0.1864951768488746,0.1157556270096463,0.04180064308681672,0.006430868167202572,0.02572347266881029,0.0,0.0,0.00964630225080386,0.21221864951768488,0.0,34.55555555555556,31.717892290598762,66.20000000000002,5.717041800643087,3.281586393116511,10.0,0.013026487190620929,0.004342162396873643,0.0008684324793747286,0.00303951367781155,0.005644811115935736,0.0,0.0004342162396873643,0.0,1,0.09090909090909091,2,0.18181818181818182,2,0.18181818181818182,6,0.5454545454545454,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01463306.txt_accumulated_section2.txt,PLS,24.11,19.1,20.8,17.153197278911566,19.73,14.39,73.24635761589404,13.0,849,148,5,5.736486486486487,29.6,0.4391891891891892,0.4578313253012048,0.018072289156626505,0.02027027027027027,0.2972972972972973,0.0472972972972973,0.14864864864864866,0.02027027027027027,0.02702702702702703,0.02027027027027027,0.033783783783783786,0.21621621621621623,0.13513513513513514,0.0472972972972973,0.0,0.02702702702702703,0.0,0.0,0.0,0.10135135135135136,0.0,29.6,11.11035552986492,40.6,5.736486486486487,3.534313432479719,11.0,0.0,0.003929273084479371,0.0009823182711198428,0.0,0.003929273084479371,0.0,0.0009823182711198428,0.0,1,0.14285714285714285,3,0.42857142857142855,0,0.0,3,0.42857142857142855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01463306.txt_accumulated_section3.txt,PLS,23.39,18.8,21.0,16.615418994413407,21.19,15.63,66.97163120567376,11.166666666666666,1017,179,6,5.597765363128492,29.833333333333332,0.3687150837988827,0.4218009478672986,0.023696682464454975,0.0446927374301676,0.2849162011173184,0.05027932960893855,0.13966480446927373,0.0223463687150838,0.055865921787709494,0.03910614525139665,0.0335195530726257,0.18435754189944134,0.15083798882681565,0.03910614525139665,0.0111731843575419,0.0335195530726257,0.0,0.0,0.00558659217877095,0.12290502793296089,0.00558659217877095,29.833333333333332,12.184917817622827,42.5,5.597765363128492,3.5477895440479776,11.0,0.004834810636583401,0.0032232070910556,0.0008058017727639,0.0016116035455278,0.004834810636583401,0.0,0.0008058017727639,0.0,1,0.1111111111111111,2,0.2222222222222222,0,0.0,6,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01463306.txt_accumulated_section4.txt,PLS,20.65,18.8,20.9,15.247499999999999,21.15,14.81,68.93035055350555,11.875,1392,255,8,5.396078431372549,31.875,0.36470588235294116,0.4276094276094276,0.04040404040404041,0.03137254901960784,0.2980392156862745,0.043137254901960784,0.14901960784313725,0.0196078431372549,0.043137254901960784,0.050980392156862744,0.027450980392156862,0.20392156862745098,0.13725490196078433,0.043137254901960784,0.011764705882352941,0.03137254901960784,0.0,0.0,0.00392156862745098,0.09803921568627451,0.00392156862745098,31.875,13.128570942794955,46.4,5.396078431372549,3.51523077000608,11.0,0.004074505238649592,0.002328288707799767,0.0005820721769499418,0.0011641443538998836,0.0034924330616996507,0.0,0.0005820721769499418,0.0,1,0.1,1,0.1,0,0.0,8,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01543087.txt_accumulated_section4.txt,PLS,42.55,16.5,16.9,11.349500000000003,16.55,13.18,55.92815854665566,7.714285714285714,774,145,7,5.151724137931034,20.714285714285715,0.3103448275862069,0.41025641025641024,0.13333333333333333,0.020689655172413793,0.2827586206896552,0.06896551724137931,0.09655172413793103,0.041379310344827586,0.11724137931034483,0.08275862068965517,0.034482758620689655,0.23448275862068965,0.15862068965517243,0.034482758620689655,0.0,0.027586206896551724,0.0,0.0,0.013793103448275862,0.15172413793103448,0.0,20.714285714285715,20.871814800376715,39.40000000000002,5.151724137931034,3.5082779634355807,10.0,0.003816793893129771,0.0,0.0028625954198473282,0.0,0.01049618320610687,0.0,0.0,0.0,0,0.0,1,0.047619047619047616,7,0.3333333333333333,13,0.6190476190476191,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01557244.txt_accumulated_section3.txt,PLS,41.8,15.0,13.0,12.594098360655735,16.02,14.16,48.51322751322751,5.777777777777778,929,182,9,5.038461538461538,20.22222222222222,0.2857142857142857,0.49019607843137253,0.024509803921568627,0.0,0.26373626373626374,0.08791208791208792,0.11538461538461539,0.04395604395604396,0.005494505494505495,0.027472527472527472,0.06043956043956044,0.18681318681318682,0.16483516483516483,0.005494505494505495,0.016483516483516484,0.054945054945054944,0.0,0.0,0.0,0.08791208791208792,0.0,20.22222222222222,6.9406656385517405,26.6,5.038461538461538,3.1905860576668124,9.900000000000006,0.003499562554680665,0.0008748906386701663,0.0,0.0008748906386701663,0.0017497812773403325,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01557244.txt_accumulated_section4.txt,PLS,42.82,15.1,12.6,13.638978723404254,15.53,13.34,49.578838785735336,5.923076923076923,1242,227,13,5.317180616740088,17.46153846153846,0.3392070484581498,0.40344827586206894,0.08275862068965517,0.004405286343612335,0.28634361233480177,0.06167400881057269,0.14537444933920704,0.02643171806167401,0.04405286343612335,0.10572687224669604,0.02643171806167401,0.23348017621145375,0.14537444933920704,0.022026431718061675,0.013215859030837005,0.03524229074889868,0.0,0.0,0.0,0.13215859030837004,0.0,17.46153846153846,5.799408253837158,24.8,5.317180616740088,3.5340776486105154,10.0,0.0056925996204933585,0.0006325110689437065,0.0018975332068311196,0.0006325110689437065,0.002530044275774826,0.0,0.0006325110689437065,0.0,0,0.0,1,0.1,1,0.1,8,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
cleaned/ClinicalTrials.gov/test/pls/NCT01557244.txt_accumulated_section6.txt,PLS,32.43,15.6,13.7,13.883056478405315,15.33,12.44,52.63242147922999,6.733333333333333,1595,293,15,5.310580204778157,19.533333333333335,0.3412969283276451,0.4099722991689751,0.07202216066481995,0.006825938566552901,0.2901023890784983,0.06484641638225255,0.14334470989761092,0.023890784982935155,0.03754266211604096,0.08873720136518772,0.030716723549488054,0.22525597269624573,0.14675767918088736,0.027303754266211604,0.010238907849829351,0.030716723549488054,0.0,0.0,0.0,0.11262798634812286,0.0,19.533333333333335,10.544298090542691,26.2,5.310580204778157,3.490962100469139,10.0,0.004479840716774514,0.0004977600796416127,0.0014932802389248383,0.0004977600796416127,0.001991040318566451,0.0,0.0004977600796416127,0.0,0,0.0,2,0.14285714285714285,1,0.07142857142857142,11,0.7857142857142857,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0
